source_lead_key,twenty_record_id,rank,priority,diversified_review_rank,fit_score,score_confidence,why_it_fits
discovered:5fc53dbc-b42d-4197-a27c-529c7b867a34,788aefac-60d3-456c-a0db-657beff8fcdb,29,A,29,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:fb3606e7-ccd7-44a0-83a6-d13f52001183,33b7c52b-5921-45d9-bdc0-6a7017353452,30,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:66242846-1006-4f27-9724-f67348d4eadf,1e410e59-9e7f-4868-85bb-9cc751410597,31,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:a1fef8e9-db58-4cf5-a6f5-3f806f95ed78,3faf889d-a2b1-41c8-8f39-f5722cb6c1b3,32,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:d1806cc8-4ae7-4965-80a3-ab5267970feb,37d5cb40-3526-4647-8acc-d03ea481fdcd,33,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:f98465d5-60fc-4206-b6ff-d30fee3284c5,a380b247-1c35-49a5-9705-792595d18316,34,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:be613501-4b6f-48bc-abb5-eb370ae5582a,d75f9e0e-1b64-447a-95c4-c3661bec2a3d,35,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:82c1d6bc-61f4-4be8-8fe2-da9c409f5ff1,d9f6f81f-d789-4180-b031-ac2fc3dc80ae,36,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:16bbab92-1576-4ced-891b-f4a791c7d168,2524dcb8-f2fe-4f8a-afe3-897f24036af5,37,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:44ffcb57-e11e-4242-b359-2902937ac686,1fadb98f-61bd-4182-8feb-ebe83a1de529,38,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:5f186b68-39e7-4a12-8303-26ca98a98b6a,07c22b8e-7f2b-4f43-8d68-37702508ff17,39,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:028a9d7f-aca2-46e8-a04c-66d117498b98,1e96fba9-7c14-4be1-b27d-661e18915741,40,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:a90669d8-a1e0-4930-8ade-958bc1ce664d,250adda8-6b30-46e8-b3cc-7fb99944b534,41,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:9bc9f5d2-be4d-4ae5-a6c3-8a69fc710d4c,679a20a5-2d0f-41c6-9dc3-8ed5ab5250a0,42,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:8356c45a-8794-42d8-8cb3-01e78c908f4e,8b137a23-1ecd-4aee-aa16-63df2a4483a7,43,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:6bde886b-1821-42f0-93c5-387e76999bb2,371b6c47-2ba6-4691-b665-37961c7a7544,44,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:8b4fef4b-30e3-44ac-8dd8-1ceabf374472,283f3d08-35cb-4ba5-b23a-d1efac503ff6,45,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:73fe7fb3-089e-4f17-a3d1-4f830b352724,0d671a17-349b-492d-9267-aecff29b7f7e,46,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:9a5e7bdf-363a-4bdb-ab0f-e1da408bf12f,cf230757-4795-49d2-a489-455f008bf67e,47,A,,78.7,HIGH,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:13b1b761-5a39-4da5-94c7-217b1210f0fd,cd415dcb-0ae6-4d3d-8ba0-859e1ad96084,48,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:eea19e6c-3d73-45ad-a40c-81aceb4d15f1,86a253fc-be0b-4d80-a72e-33a5542035af,49,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:8c0d3de8-fb59-4202-a6ae-57319f6758f5,b8a3c13d-2c5b-4738-8c13-a5916f024278,50,A,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:3c65f8ba-cb77-43ed-ba95-238ec4b11b4e,a3f9e89e-d71b-4e23-b109-009053e86543,51,B,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:47041ec8-4b7d-40b8-9926-7aa2b0061af4,fa7cf9d5-8a78-475d-9fde-91848c1f1286,52,B,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:916f6fef-77d7-423a-8ba0-d41af6f22b6c,fe7e0d66-4c01-4df2-b4fc-e2e20cb89e1f,53,B,,78.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:0be15295-5cb8-48d0-828a-28a4b30293ee,98b0fbf9-ea7f-4da1-b405-d9e060f3852f,54,B,,78.6,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:87423997-91b3-422d-b6f7-f90e958bfe0a,dc1d47ab-ef6d-46ca-ae25-f7cb8abee80c,55,B,,78.5,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:60fc8055-8eda-47aa-abc1-0df3d044defe,1dabc952-90c9-4d5b-b4da-85c481a604d8,56,B,30,78.4,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:2c9fda49-61ae-4259-bcb8-b42e8d575a63,ecc68160-8bf4-4db4-af1e-27300a26b6f0,57,B,,78.3,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:3396c211-03d8-454a-808c-4810634a298f,88365dcd-29a5-4b8e-a84d-58c43d7808d0,58,B,,78.3,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:d41b566d-b0a7-4cdc-a024-666beeebdd79,4f820c8a-902c-44b9-b447-2aa89fc3f8a3,59,B,,78.2,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:428b15ec-b6d9-4a56-a692-7265636c6c7c,9692823e-bf05-4c4e-be8f-de590ec1f459,60,B,31,78.0,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:75c9a4a3-875d-4fe4-9859-e9bbc2ad3cab,66cdc9e6-0ab8-4796-9792-8780a965778d,61,B,,77.8,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:ff33afa7-1e3a-4ef9-bad3-1d1aae745f53,45058c64-6883-48a0-ba1b-c02dd1a1ca39,62,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:a38526b1-7eee-4d26-a3ab-23a403109fcb,d33dc733-ca69-41fb-952b-1e7a1e4849e4,63,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:0aa1f9ce-f115-4a55-b6f0-78acdec4548a,9e0222d1-7847-4aed-b1ee-eafbe7ae2ae0,64,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:c5465536-40d5-451f-b54d-59f4b1a82792,41a7e49c-bb44-45a7-a65b-0d3bc64875e6,65,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:ff6ec969-6c8b-4017-aa35-45747632d3a6,43c9f47a-fd92-4d39-a1f5-c51edd980785,66,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:433f9e31-ba20-4bf8-bce5-edcd0e2fc9a4,6763afc0-e6f2-4a93-8aa8-a77e09616e88,67,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:2ab09ead-e49d-4644-84de-5e155a28f775,6cd4649f-68a4-46d5-ab5d-fe265ca84dcc,68,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:a9585a2f-aa7d-44e5-a181-3dc1776bbce2,e45f4a1f-a610-45bc-9d70-875844091b7a,69,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:5870ec0c-a89b-44f0-b4f9-463157b70a89,afe82659-65fa-45f6-9995-c704aaa42bf7,70,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:a37ee7d8-8555-45b2-92da-16e4cbdca510,7148367a-df17-4ea6-af10-4230e8069acb,71,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:03cf1ae9-7598-4683-958e-1957d21d7e9f,f481d794-b9b4-4826-9bfd-7290510f08fb,72,B,,77.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:4baa51d6-adfb-4e01-8d6c-bea637307ded,3cc469d2-af7d-4559-af4c-25800bbb21b8,73,B,32,77.5,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:68628050-5dc0-4ba1-97a7-a89b63c1c558,4f2a9ee3-d92f-46e8-9916-ebe46d14b807,74,B,,77.4,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:5138ded8-ebd3-43e6-95a7-bb6ea89f3c8e,7b30db9e-5fdf-4743-adb9-3ac40c1133a3,75,B,,77.4,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:e733a184-c2ff-4a17-ba60-a2db18d880be,925680d7-d760-4c90-a580-c5552914ba72,76,B,33,77.1,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:9896db94-ff27-4809-bfab-573d61e70f59,c2a6a16e-b5f4-42cd-ac6b-bab2ad0d8d64,77,B,,77.0,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:558872ca-2e63-4b12-ab1f-05acfd1f21d7,cec53034-53d1-478e-9f0b-6422e708aac0,78,B,,76.8,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:87966478-2cb2-43b5-a900-721681de752f,c230c82b-d4a9-42c5-96df-5fd0b6816ad7,79,B,34,76.7,LOW,"Closest client patterns: Alarm and security services, Landscaping services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: license evidence, verified own site."
discovered:eb7ae1cd-8bd6-4064-a647-a06993fb6845,0b7d8a72-696f-493d-8441-434c331e6808,80,B,,76.6,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:666ccd58-f8e3-413c-80c2-d24027224aae,a6e643c0-5b49-4d3a-92b6-f6211ef32d67,81,B,35,76.3,MEDIUM,"Closest client patterns: Home repair and trades, Consumer services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:476920ae-7680-4f2c-b20e-33e4069b711a,771d1c4c-57f8-444f-8540-5fe49e8a317c,82,B,,76.2,LOW,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:806f1615-904d-45bc-a1d4-915d63a71da4,5b4aaea0-15ab-480b-a002-ba217569ec02,83,B,36,76.1,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:16393d21-500d-4016-b3c3-a74de099f74c,6dcdb770-82a7-4629-976d-3be0e305186c,84,B,,75.9,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:ca834754-deac-4468-96c2-4babe7b05188,0577f6c5-723e-443f-aff2-f66a86c8a530,85,B,37,75.8,MEDIUM,"Closest client patterns: Home repair and trades, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:ee6833b2-1ad7-4a87-b992-c5a321546199,e95a50e3-28f2-4761-adf2-03b42c073151,86,B,,75.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:0c10282c-4016-4843-bb79-44bf0235210b,e6335bcb-cfb8-4020-a2e3-53a6c0ec0a08,87,B,,75.1,LOW,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:d1831946-cde0-4a8a-bc36-aa2253c697b1,245004f4-1387-488e-9ddc-e989f25b676e,88,B,,75.1,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:43e7e992-4d42-412f-beec-865a584a8963,1f9048c6-6c44-4c13-962e-93841ecc3bf0,89,B,,75.1,HIGH,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:2f83099e-e184-4117-8edb-f5d0f558ecf6,66110cb7-3017-4aa7-8ec4-19fffc274e2a,90,B,38,75.0,MEDIUM,"Closest client patterns: Industrial services, Mechanical and HVAC services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:53f1c3b4-39ea-462f-9663-07d441f9856e,19024067-88ba-48fe-ac16-0a2269d101f3,91,B,,74.8,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:abb00aff-b755-4194-96ce-81f8644fc55d,97db878f-cf4f-4fc0-b206-477e65aafc6f,92,B,,74.7,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:2f181f9f-a066-4421-baa8-f573f8bf27ed,863db221-effc-467f-a15c-572b79d9e30c,93,B,,74.6,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:80b1629c-ae46-44b7-9081-0c2c2c8298d0,df611d93-1824-4a9c-be73-7e6b65a2abda,94,B,39,74.4,MEDIUM,"Closest client patterns: Alarm and security services, Home repair and trades. Need signals: after hours coverage, emergency dispatch, on call escalation. Verification: license evidence, verified own site."
discovered:2d38413a-f7f5-4171-b3bd-ebcf98094d4b,7d276b4c-183d-4a10-900c-5085162010ea,95,B,,74.4,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:82c73e9f-e18a-4405-b96d-37f7821e7f7b,b01cb721-f795-49a5-8f65-19cb03ee3f73,96,B,40,73.9,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: license evidence, verified own site."
discovered:5f54a2c2-6b82-4f44-bc74-86d244dfbd69,6d789019-af10-40ee-836f-f405c1418edb,97,B,,73.8,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:82b78c01-b3ec-4b79-b392-4ff7ab7a9456,9b8a9f28-7aa7-4ed2-86e0-178334f0ebbe,98,B,,73.6,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:e0c68660-d2e9-456c-890e-4b56dd28a531,0b08e94c-d3fe-4328-9906-86344cb2bc09,99,B,41,73.6,LOW,"Closest client patterns: IT and technical services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:0479d605-9c82-48f8-a4b4-5064be8a567f,3e75a4d3-680c-4cae-871e-0a1e56e9147f,100,B,,73.5,LOW,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:6322a6e2-d018-4340-9ee2-b386507896e5,ecbda717-4d62-43a8-a637-ffb09ae1f2aa,101,B,42,73.4,MEDIUM,"Closest client patterns: Home repair and trades, Elevator services. Need signals: after hours coverage, appointment scheduling, emergency dispatch. Verification: verified own site."
discovered:cfb2385e-6c83-4ba8-bca6-e9c2a7c5c15b,f44d8511-75c0-4bc2-95aa-d763c4b4470b,102,B,,73.4,LOW,"Closest client patterns: Mechanical and HVAC services, Industrial services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:4834d568-6a98-44a8-b053-4766a4da0d16,592c2195-89bc-4ecf-84b8-945863eba063,103,B,,73.4,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:e94bf26b-cab6-454c-bb7e-829b9af3ca6b,8bf610e1-73be-4016-8f24-74dbdfa319f0,104,B,,73.4,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:aae97e62-2f56-4254-8883-1bd626a4011f,040cf23b-1aac-4529-ba8a-06e9148ebba6,105,B,,73.3,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
discovered:9b1cd135-c0b7-4fb4-859d-0be67cca15e7,5617e63d-7a48-44b3-9e80-3c638d67c731,106,B,43,72.8,MEDIUM,"Closest client patterns: Mechanical and HVAC services, Landscaping services. Need signals: after hours coverage, customer support, emergency dispatch. Verification: verified own site."
discovered:6fa6df3c-d51c-48eb-8594-7a0b7e7ef84e,d5c862a4-4dcf-401e-a4df-98a8d3f5d1fa,107,B,,72.8,MEDIUM,"Closest client patterns: Veterinary and animal services. Need signals: after hours coverage, appointment scheduling, customer support. Verification: verified own site."
